split,bin,n,H_min,H_max,H_mean,mean_D_human,mean_D_llm,mean_gap,frac_Dhuman_gt_Dllm
mnli_m,1,200,0.0510,0.5397,0.4181,1.3596,1.2573,0.1023,0.7200
mnli_m,2,200,0.5406,0.6465,0.6013,1.7167,1.4155,0.3012,0.7400
mnli_m,3,199,0.6487,0.7261,0.6850,1.9233,1.4261,0.4973,0.8844
mnli_m,4,201,0.7268,0.8219,0.7663,2.0880,1.4104,0.6776,0.9602
mnli_m,5,200,0.8232,0.9996,0.9034,2.5180,1.5398,0.9782,0.9650
snli,1,202,-0.0000,0.3154,0.1896,1.1149,1.0553,0.0596,0.7970
snli,2,197,0.3188,0.4710,0.4002,1.3293,1.1526,0.1767,0.8376
snli,3,200,0.4782,0.5893,0.5365,1.5871,1.2799,0.3072,0.8200
snli,4,201,0.5948,0.6679,0.6247,1.8552,1.4516,0.4036,0.8607
snli,5,200,0.6694,0.9983,0.7766,2.1568,1.5553,0.6016,0.9400
alphanli,1,216,-0.0000,0.0808,0.0501,1.0125,1.0103,0.0022,0.5602
alphanli,2,188,0.1414,0.1944,0.1612,1.0486,1.0222,0.0265,0.8883
alphanli,3,202,0.2423,0.4022,0.3038,1.1157,1.0664,0.0492,0.8416
alphanli,4,192,0.4365,0.7415,0.5737,1.3161,1.1750,0.1412,0.8021
alphanli,5,202,0.7602,1.0000,0.9080,1.7953,1.4075,0.3878,0.8218
pooled,1,611,-0.0000,0.2423,0.1258,1.0461,1.0270,0.0191,0.7463
pooled,2,591,0.2445,0.4796,0.3751,1.2579,1.1485,0.1094,0.8037
pooled,3,595,0.4821,0.6265,0.5652,1.6076,1.3295,0.2781,0.7882
pooled,4,603,0.6280,0.7586,0.6876,1.8905,1.4073,0.4831,0.8905
pooled,5,600,0.7588,1.0000,0.8780,2.1792,1.4978,0.6814,0.9100
